True Label,Prediction,Confidence,Doubt,Correct,Error Caught,Error Missed
2,2,0.9959,True,True,False,False
5,5,0.9999,True,True,False,False
0,0,1.0,False,True,False,False
6,6,1.0,True,True,False,False
4,4,1.0,True,True,False,False
3,3,1.0,True,True,False,False
8,8,1.0,False,True,False,False
9,9,1.0,True,True,False,False
7,7,1.0,False,True,False,False
5,5,1.0,True,True,False,False
5,5,1.0,False,True,False,False
4,4,1.0,False,True,False,False
4,4,0.9918,True,True,False,False
2,2,1.0,False,True,False,False
3,3,1.0,False,True,False,False
5,5,1.0,True,True,False,False
3,3,1.0,False,True,False,False
1,1,1.0,True,True,False,False
1,1,1.0,False,True,False,False
4,4,0.9912,True,True,False,False
7,7,1.0,False,True,False,False
7,7,1.0,True,True,False,False
2,2,1.0,True,True,False,False
6,6,1.0,True,True,False,False
5,5,1.0,True,True,False,False
3,3,1.0,False,True,False,False
6,6,1.0,True,True,False,False
2,2,1.0,False,True,False,False
1,1,1.0,True,True,False,False
2,2,1.0,False,True,False,False
7,7,1.0,True,True,False,False
2,2,1.0,True,True,False,False
8,8,1.0,False,True,False,False
9,9,0.9991,True,True,False,False
0,0,1.0,False,True,False,False
6,6,1.0,True,True,False,False
6,6,1.0,True,True,False,False
9,9,1.0,True,True,False,False
6,6,1.0,True,True,False,False
1,1,1.0,True,True,False,False
6,6,1.0,True,True,False,False
3,3,1.0,False,True,False,False
9,9,1.0,False,True,False,False
2,2,1.0,False,True,False,False
6,6,1.0,False,True,False,False
8,8,1.0,False,True,False,False
8,8,1.0,False,True,False,False
3,3,1.0,False,True,False,False
1,1,1.0,False,True,False,False
0,0,1.0,True,True,False,False
8,8,1.0,False,True,False,False
5,5,0.9504,True,True,False,False
0,0,1.0,False,True,False,False
4,4,1.0,False,True,False,False
5,5,1.0,True,True,False,False
0,0,1.0,False,True,False,False
0,0,1.0,True,True,False,False
0,0,0.9903,True,True,False,False
9,9,1.0,True,True,False,False
6,6,1.0,False,True,False,False
1,1,1.0,True,True,False,False
2,2,1.0,True,True,False,False
9,9,0.9997,True,True,False,False
1,1,1.0,True,True,False,False
3,3,1.0,False,True,False,False
0,0,1.0,True,True,False,False
5,5,1.0,True,True,False,False
3,3,1.0,True,True,False,False
5,5,1.0,False,True,False,False
0,0,1.0,False,True,False,False
8,8,1.0,True,True,False,False
1,1,1.0,True,True,False,False
4,4,1.0,False,True,False,False
2,2,1.0,True,True,False,False
6,6,1.0,False,True,False,False
7,7,1.0,True,True,False,False
4,4,0.9997,True,True,False,False
4,4,0.988,True,True,False,False
8,8,1.0,False,True,False,False
0,0,1.0,True,True,False,False
6,6,1.0,False,True,False,False
1,1,1.0,True,True,False,False
9,9,1.0,True,True,False,False
3,3,1.0,False,True,False,False
9,9,0.999,True,True,False,False
9,9,0.9998,True,True,False,False
2,2,0.9999,True,True,False,False
2,2,0.8374,True,True,False,False
6,6,1.0,False,True,False,False
9,9,1.0,True,True,False,False
8,8,1.0,True,True,False,False
0,0,1.0,False,True,False,False
6,6,1.0,True,True,False,False
7,7,1.0,False,True,False,False
9,9,1.0,False,True,False,False
3,3,1.0,False,True,False,False
4,4,1.0,True,True,False,False
3,3,1.0,False,True,False,False
2,2,0.8864,True,True,False,False
8,8,1.0,True,True,False,False
0,0,1.0,False,True,False,False
4,4,1.0,False,True,False,False
7,7,1.0,False,True,False,False
7,7,1.0,False,True,False,False
7,7,0.9999,True,True,False,False
4,4,0.9994,True,True,False,False
6,6,1.0,True,True,False,False
0,0,1.0,True,True,False,False
8,8,1.0,True,True,False,False
7,7,1.0,True,True,False,False
8,8,1.0,False,True,False,False
